time,mode,cycle,q1,q2,q3,q4,q5,q6,pos_x,pos_y,pos_z
0.00012399199840729125,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.0003223663370590657,-0.01091786352680921,0.8780224247038347,0.3033040454192201
0.0011530929987202398,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.0003223663370590657,-0.010917641513429164,0.8780229605343629,0.3033055859086072
0.002093320999847492,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.0003223663370590657,-0.010917449344485068,0.8780242984441711,0.303310208892699
0.003086695000092732,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.0003223663952667266,-0.010917299357160253,0.8780264306015132,0.3033179144426979
0.004085055999894394,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.00032236651168204844,-0.010917191546201232,0.8780293569134017,0.30332870260691447
0.005084312997496454,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.00032236630795523524,-0.010917113760580431,0.8780328485919909,0.3033422378879
0.006083093998313416,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.0003223655221518129,-0.010917025285826148,0.8780361390198574,0.30335739546739715
0.007082353997247992,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.0003223641833756119,-0.01091692282960356,0.8780391662032645,0.30337408450457776
0.00808277000032831,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.00032236266997642815,-0.010916815949599127,0.8780421101048916,0.3033912566095054
0.009086509999178816,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.000322361767757684,-0.010916722601660598,0.8780453088212088,0.3034069431372036
0.010082030999910785,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.179676353931427,-89.70030212402344,0.00032236220431514084,-0.010916643205933144,0.8780487702651977,0.30342109846713994
0.011082221997639863,2.0,1,-86.95989227294922,-31.275144577026367,-59.55683135986328,-0.1796763688325882,-89.70030212402344,0.00032236456172540784,-0.010916549863640214,0.878051969120152,0.3034329513327408
0.012081922999641392,2.0,1,-86.95989227294922,-31.275144577026367,-59.55683135986328,-0.1796763688325882,-89.70030212402344,0.00032236965489573777,-0.010916414355268071,0.8780543740248288,0.30344172150428184
0.013082423000014387,2.0,1,-86.95989227294922,-31.2750244140625,-59.55683135986328,-0.1796763688325882,-89.70030212402344,0.00032237800769507885,-0.010916236686519256,0.8780559850806702,0.30344740892060396
0.014081150999118108,2.0,1,-86.95989227294922,-31.2750244140625,-59.55683135986328,-0.1796763837337494,-89.70030212402344,0.000322389678331092,-0.010916016861352816,0.8780568023563061,0.3034500135455733
0.015028295998490648,2.0,1,-86.95989227294922,-31.275026321411133,-59.55683135986328,-0.1796763837337494,-89.70030212402344,0.00032240478321909904,-0.010915943545831997,0.8780568924015442,0.30345019692812225
0.016027277997636702,2.0,1,-86.95989227294922,-31.275026321411133,-59.55683135986328,-0.1796763837337494,-89.70030212402344,0.0003224231186322868,-0.010915943545831997,0.8780568924015442,0.30345019692812225
0.017027886999130715,2.0,1,-86.95989227294922,-31.275026321411133,-59.55683135986328,-0.1796763837337494,-89.70030212402344,0.0003224231186322868,-0.010915943545831997,0.8780568924015442,0.30345019692812225
0.018026867997832596,2.0,1,-86.95989227294922,-31.275026321411133,-59.55683135986328,-0.17967639863491058,-89.7002944946289,0.0003224440151825547,-0.010915943545831997,0.8780568924015442,0.30345019692812225
0.019026597998163197,2.0,1,-86.95989227294922,-31.275026321411133,-59.55683135986328,-0.17967639863491058,-89.7002944946289,0.0003224664251320064,-0.010915943545831997,0.8780568924015442,0.30345019692812225
0.020026750997203635,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.17967639863491058,-89.7002944946289,0.00032248860225081444,-0.010915943545831997,0.8780568924015442,0.30345019692812225
0.021026944999903208,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.17967641353607178,-89.7002944946289,0.0003225090622436255,-0.010915943545831997,0.8780568924015442,0.30345019692812225
0.022026586000720272,2.0,1,-86.95989227294922,-31.275144577026367,-59.556949615478516,-0.17967641353607178,-89.7002944946289,0.0003225266409572214,-0.010915943545831997,0.8780568924015442,0.30345019692812225
0.023027078997984063,2.0,1,-86.95989227294922,-31.2752628326416,-59.556949615478516,-0.17967641353607178,-89.7002944946289,0.0003225404943805188,-0.010915943545831997,0.8780568924015442,0.30345019692812225
